Security	Security_Type	TNT_Security	Asset_Desc	Offer_Type	Offeror	TNT_Deadline	Custodian_Deadline	Expiration_Date	Payment_Date	Record_Date	Ex_Date	Custodian_Swing	Effective_Date	Redemption_Date	Put_Date	Due_Bill_Date	Protect_End_Date	Rights_Expiration_Date	Processor	Depot	Reg	Issue_Action_Id	Account	Account_Name	PGC	Net	Settled	Aquired	Disposed	Decision	Approve	Desc_Exec	Opt	Option_Desc	SI	Bid_Price	Bid_Qty	Export_Datetime	Unique_ID	Redemtion	Flag	Ancmt	Msg	Date Sent	Max_Eligibility	Man_Vol	Cdr_Msg	opt_dflt	
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_11	603426	ACCOUNT_NAME	PGC 5	99	99	0	0	 	 	 	2	ELECT THE CASH OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_12	603426	ACCOUNT_NAME	PGC 5	99	99	0	0	99	99	0	3	ELECT THE CASH & STOCK OPTION		0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	1	B-WOOLF
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_13	603936	ACCOUNT_NAME	PGC 5	14	14	0	0	 	 	 	1	ELECT THE STOCK OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_14	603936	ACCOUNT_NAME	PGC 5	14	14	0	0	 	 	 	2	ELECT THE CASH OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_15	603936	ACCOUNT_NAME	PGC 5	14	14	0	0	14	14	0	3	ELECT THE CASH & STOCK OPTION		0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	1	B-WOOLF
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_16	604020	ACCOUNT_NAME	PGC 5	24	24	0	0	 	 	 	1	ELECT THE STOCK OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_17	604020	ACCOUNT_NAME	PGC 5	24	24	0	0	 	 	 	2	ELECT THE CASH OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_18	604020	ACCOUNT_NAME	PGC 5	24	24	0	0	24	24	0	3	ELECT THE CASH & STOCK OPTION		0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	1	B-WOOLF
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_19	604434	ACCOUNT_NAME	PGC 5	26	26	0	0	 	 	 	1	ELECT THE STOCK OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_20	604434	ACCOUNT_NAME	PGC 5	26	26	0	0	 	 	 	2	ELECT THE CASH OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
